type,lemma,full,gloss,freq,diff,alphabetical,fgroup,,,,,,
Noun,θάλασσα,"θάλασσα, -ης, ἡ",the sea,91,50,hakarra,50-100,,,,,,
Verb,κάθημαι,κάθημαι,to sit,91,50,jahglai,50-100,,,,,,
Pronoun,μηδείς,"μηδείς, μηδεμία, μηδέν",no one,91,50,lgdeir,50-100,,,,,,
Verb,ἀκολουθέω,ἀκολουθέω,to follow,90,50,ajokothex,50-100,,,,,,
Verb,ἀπόλλυμι,ἀπόλλυμι,to destroy; to perish (middle),90,50,apokktli,50-100,,,,,,
Verb,πίπτω,πίπτω,to fall,90,50,pipsx,50-100,,,,,,
Adjective,ἑπτά,ἑπτά,seven,88,50,epsa,50-100,,,,,,
Adjective,πονηρός,"πονηρός, -ά, -όν",evil,88,50,pomgqor,50-100,,,,,,
Conjunction,οὔτε,οὔτε,"neither, nor",87,50,otse,50-100,,,,,,
Verb,ἄρχω,ἄρχω,to rule ,86,50,aqvx,50-100,,,,,,
Verb,πληρόω,πληρόω,"to fill, fulfill",86,50,pkgqox,50-100,,,,,,
Verb,προσέρχομαι,προσέρχομαι,to come to,86,50,pqoreqvolai,50-100,,,,,,
Noun,καιρός,"καιρός, -οῦ, ὁ","time, an appointed time",85,50,jaiqor,50-100,,,,,,
Verb,προσεύχομαι,προσεύχομαι,to pray,85,50,pqoretvolai,50-100,,,,,,
Noun,μήτηρ,"μήτηρ, -τρος, ἡ",a mother,83,50,lgsgq,50-100,,,,,,
Conjunction,ὥστε,ὥστε,so that,83,50,xrse,50-100,,,,,,
Verb,ἀναβαίνω,ἀναβαίνω,to go up,82,50,amabaimx,50-100,,,,,,
Adjective,ἕκαστος,"ἕκαστος, -η, -ον",each,82,50,ejarsor,50-100,,,,,,
Conjunction,ὅπου,ὅπου,"where, whither",82,50,opot,50-100,,,,,,
Noun,στόμα,"στόμα, -τος, τό",a mouth,82,50,rsola,50-100,,,,,,
Verb,ἐκβάλλω,ἐκβάλλω,to cast out,81,50,ejbakkx,50-100,,,,,,
Verb,καταβαίνω,καταβαίνω,to go down,81,50,jasabaimx,50-100,,,,,,
Adverb,μᾶλλον,μᾶλλον,"more, rather",81,50,lakkom,50-100,,,,,,
Noun,ἀπόστολος,"ἀπόστολος, -ου, ὁ",an Apostle,80,50,aporsokor,50-100,,,,,,
Proper Noun,Μωϋσῆς,"Μωϋσῆς, -έως, ὁ",Moses,80,50,lxtrgr,50-100,,,,,,
Verb,ἀνοίγω,ἀνοίγω,to open,79,50,amoicx,50-100,,,,,,
Adjective,δίκαιος,"δίκαιος, -α, -ον","right, just, righteous",79,50,dijaior,50-100,,,,,,
Proper Noun,Ἰερουσαλήμ,"Ἱεροσόλυμα, τό",Jerousalem,79,50,ieqotrakgl,50-100,,,,,,
Verb,πέμπω,πέμπω,to send,79,50,pelpx,50-100,,,,,,
Verb,ὑπάγω,ὑπάγω,to depart,79,50,tpacx,50-100,,,,,,
Verb,μαρτυρέω,μαρτυρέω,"to bear witness, testify",78,50,laqstqex,50-100,,,,,,
Noun,πρόσωπον,"πρόσωπον, -ου, τό","face, presence",78,50,pqorxpom,50-100,,,,,,
Noun,ὕδωρ,"ὕδωρ, ὕδατος, τό",water,78,50,tdxq,50-100,,,,,,
Verb,βαπτίζω,βαπτίζω,to baptize,77,50,bapsifx,50-100,,,,,,
Noun,σημεῖον,"σημεῖον, -ου, τό",a sign,77,50,rgleiom,50-100,,,,,,
Noun,εὐαγγέλιον,"εὐαγγέλιον, -ου, -ν","good news, glad tidings, the Gospel",76,50,etaccekiom,50-100,,,,,,
Adjective,δώδεκα,δώδεκα,twelve,75,50,dxdeja,50-100,,,,,,
Noun,κεφαλή,"κεφαλή, -ῆς, ἡ",head,75,50,jeuakg,50-100,,,,,,
Proper Noun,Σίμων,"Σίμων, -ωνος, ὁ",Simon,75,50,rilxm,50-100,,,,,,
Verb,ἀποκτείνω,ἀποκτείνω,to kill,74,50,apojseimx,50-100,,,,,,
Adjective,ἐμός,"ἐμός, -ή, -όν","my, mine",74,50,elor,50-100,,,,,,
Verb,χαίρω,χαίρω,to rejoice,74,50,vaiqx,50-100,,,,,,
Proper Noun,Ἀβραάμ,"Ἀβραάμ, ὁ",Abraham,73,50,abqaal,50-100,,,,,,
Adjective,αἰώνιος,"αἰώνιος, -ον",eternal,73,50,aixmior,50-100,,,,,,
Verb,πίνω,πίνω,to drink,73,50,pimx,50-100,,,,,,
Noun,φῶς,"φῶς, -φωτός, τό",light,73,50,uxr,50-100,,,,,,
Noun,ἱερόν,"ἱερόν, -οῦ, τό",a temple,72,50,ieqom,50-100,,,,,,
Noun,πῦρ,"πῦρ, -ός, τό",fire,71,50,ptq,50-100,,,,,,
Verb,αἰτέω,αἰτέω,to ask,70,50,aisex,50-100,,,,,,
Verb,τηρέω,τηρέω,to keep,70,50,sgqex,50-100,,,,,,
Verb,ἄγω,ἄγω,to lead,69,50,acx,50-100,,,,,,
Adjective,τρεῖς,"τρεῖς, -τρία",three,69,50,sqeir,50-100,,,,,,
Proper Noun,Ἰσραήλ,"Ἰσραήλ, ὁ",Israel,68,50,irqagk,50-100,,,,,,
Noun,ῥῆμα,"ῥῆμα, -τος, τό",a word,68,50,qgla,50-100,,,,,,
Noun,σάββατον,"σάββατον, -ου, τό",the Sabbath,68,50,rabbasom,50-100,,,,,,
Noun,ἐντολή,"ἐντολή, -ῆς, ἡ",a commandment,67,50,emsokg,50-100,,,,,,
Adjective,λοιπός,"λοιπός, -ή, -όν","remaining, the rest (as a noun); for the rest, henceforth (as an adverb)",67,50,koipor,50-100,,,,,,
Adjective,πιστός,"πιστός, -ή, -όν","faithful, believing",67,50,pirsor,50-100,,,,,,
Noun,πλοῖον,"πλοῖον, -ου, τό",a boat,67,50,pkoiom,50-100,,,,,,
Verb,ἀπολύω,ἀπολύω,to release,66,50,apoktx,50-100,,,,,,
Noun,καρπός,"καρπός, -οῦ, ὁ",fruit,66,50,jaqpor,50-100,,,,,,
Adjective,πρεσβύτερος,"πρεσβύτερος, -α, -ον",elder,66,50,pqerbtseqor,50-100,,,,,,
Verb,φέρω,φέρω,"to carry, bear, bring, lead",66,50,ueqx,50-100,,,,,,
Conjunction,εἴτε,εἴτε,"if, whether",65,50,eise,50-100,,,,,,
Verb,θεωρέω,θεωρέω,"to look at, behold",64,50,hexqex,50-100,,,,,,
Proper Noun,Γαλιλαία,"Γαλιλαία, -ας, ἡ",Galilee,63,50,cakikaia,50-100,,,,,,
Noun,γραμματεύς,"γραμματεύς, -έως, ὁ",a scribe,63,50,cqallasetr,50-100,,,,,,
Noun,δαιμόνιον,"δαιμόνιον, -ου, τό",a demon,63,50,dailomiom,50-100,,,,,,
Adverb,ἔξω,ἔξω,without; outside (gen),63,50,enx,50-100,,,,,,
Verb,ἐρωτάω,ἐρωτάω,"to ask, request, entreat",63,50,eqxsax,50-100,,,,,,
Adjective,κακός,"κακός, -ή, -όν","bad, evil",63,50,jajor,50-100,,,,,,
Noun,ὄρος,"ὄρος, -ους, τό",a mountain,63,50,oqor,50-100,,,,,,
Verb,δοκέω,δοκέω,to think; seem,62,50,dojex,50-100,,,,,,
Noun,θέλημα,"θέλημα, -τος, τό",will,62,50,hekgla,50-100,,,,,,
Noun,θρόνος,"θρόνος, -ου, ὁ",a throne,62,50,hqomor,50-100,,,,,,
Proper Noun,Ἱεροσόλυμα,"Ἱεροσόλυμα, τό",Jerusalem,62,50,ieqoroktla,50-100,,,,,,
Adjective,μέσος,"μέσος, -η, -ον","middle, in the midst",62,50,leror,50-100,,,,,,
Adjective,τρίτος,"τρίτος, -η, -ον",third,62,50,sqisor,50-100,,,,,,
Adjective,ἀγαπητός,"ἀγαπητός, -ή, -όν",beloved,61,50,acapgsor,50-100,,,,,,
Verb,δοξάζω,δοξάζω,to glorify,61,50,donafx,50-100,,,,,,
Adverb,ἤδη,ἤδη,"now, already",61,50,gdg,50-100,,,,,,
Verb,κηρύσσω,κηρύσσω,"to proclaim, preach",61,50,jgqtrrx,50-100,,,,,,
Noun,νύξ,"νύξ, -νυκτός, ἡ",night,61,50,mtn,50-100,,,,,,
Adverb,ὧδε,ὧδε,"here, hither",61,50,xde,50-100,,,,,,
Noun,ἱμάτιον,"ἱμάτιον, -ου, τό",a garment,60,50,ilasiom,50-100,,,,,,
Verb,προσκυνέω,προσκυνέω,to worship,60,50,pqorjtmex,50-100,,,,,,
Verb,ὑπάρχω,ὑπάρχω,"to be, exist",60,50,tpaqvx,50-100,,,,,,
Verb,ἀσπάζομαι,ἀσπάζομαι,"to greet, salute",59,50,arpafolai,50-100,,,,,,
