type,lemma,full,gloss,freq,diff,alphabetical,fgroup,,,,,,
Noun,ἀρχή,"ἀρχή, -ῆς, ἡ",a beginning,55,50,aqvg,50-100,,,,,,
Verb,κράζω,κράζω,to cry out,55,50,jqafx,50-100,,,,,,
Proper Noun,Πιλᾶτος,"Πιλᾶτος, -ου, ὁ",Pilate,55,50,pikasor,50-100,,,,,,
Adjective,δεξιός,"δεξιός, -ά, -όν",right,54,50,denior,50-100,,,,,,
Adjective,ἔσχατος,"ἔσχατος, -η, -ον",last,54,50,ervasor,50-100,,,,,,
Verb,εὐαγγελίζω,εὐαγγελίζω,"to bring good news, preach good tidings",54,50,etaccekifx,50-100,,,,,,
Proper Noun,Μαρία,"Μαρία, -ας",Mary,54,50,laqia,50-100,,,,,,
Adverb,οὐχί,οὐχί,not,54,50,otvi,50-100,,,,,,
Verb,σπείρω,σπείρω,to sow,54,50,rpeiqx,50-100,,,,,,
Noun,χρόνος,"χρόνος, -ου, ὁ",time,54,50,vqomor,50-100,,,,,,
Conjunction,διό,διό,"therefore, for this reason",53,50,dio,50-100,,,,,,
Noun,ἐλπίς,"ἐλπίς, -ίδος, ἡ",hope,53,50,ekpir,50-100,,,,,,
Conjunction,ὅπως,ὅπως,"how, that, in order that,",53,50,opxr,50-100,,,,,,
Noun,ἐπαγγελία,"ἐπαγγελία, -ας, ἡ",a promise,52,50,epaccekia,50-100,,,,,,
Adjective,ὀλίγος,"ὀλίγος, -η, -ον","little, few",52,50,okicor,50-100,,,,,,
Noun,παιδίον,"παιδίον, -ου, τό","an infant, child",52,50,paidiom,50-100,,,,,,
Verb,πείθω,πείθω,to persuade,52,50,peihx,50-100,,,,,,
Adjective,δεύτερος,"δεύτερος, -α, -ον",second,51,50,detseqor,50-100,,,,,,
Noun,σοφία,"σοφία, -ας, ἡ",wisdom,51,50,rouia,50-100,,,,,,
Noun,γλῶσσα,"γλῶσσα, -ης, ἡ","a tongue, language",50,50,ckxrra,50-100,,,,,,
Noun,γραφή,"γραφή, -ῆς, ἡ","a writing, Scripture",50,50,cqaug,50-100,,,,,,
Adjective,μακάριος,"μακάριος, -α, -ον","blessed, happy",50,50,lajaqior,50-100,,,,,,
Noun,παραβολή,"παραβολή, -ῆς, ἡ",a parable,50,50,paqabokg,50-100,,,,,,
Adjective,τυφλός,"τυφλός, -ή, -όν",blind,50,50,stukor,50-100,,,,,,
Particle,ἄρα,ἄρα,"then, therefore",49,50,aqa,25-50,,,,,,
Preposition,ἄχρι,ἄχρι,"as far as, up to (gen); until (as conjunction)",49,50,avqi,25-50,,,,,,
Noun,ἔτος,"ἔτος, -ους, τό",a year,49,50,esor,25-50,,,,,,
Verb,παραλαμβάνω,παραλαμβάνω,"to receive, take",49,50,paqakalbamx,25-50,,,,,,
Verb,φανερόω,φανερόω,"to manifest, make manifest, reveal",49,50,uameqox,25-50,,,,,,
Noun,χρεία,"χρεία, -ας, ἡ",a need,49,50,vqeia,25-50,,,,,,
Verb,ἀποδίδωμι,ἀποδίδωμι,"to give back, pay; to sell (middle)",48,50,apodidxli,25-50,,,,,,
Preposition,ἔμπροσθεν,ἔμπροσθεν,"in front of, before (gen)",48,50,elpqorhem,25-50,,,,,,
Noun,ἔρημος,"ἔρημος, -ου, ἡ","a desert, wilderness ",48,50,eqglor,25-50,,,,,,
Adjective,μικρός,"μικρός, -ά, -όν","small, little",48,50,lijqor,25-50,,,,,,
Adverb,ποῦ,ποῦ,where? whither?,48,50,pot,25-50,,,,,,
Adjective,ἁμαρτωλός,"ἁμαρτωλός, -όν",sinful; sinner (as a noun),47,50,alaqsxkor,25-50,,,,,,
Verb,κρατέω,κρατέω,to grasp,47,50,jqasex,25-50,,,,,,
Noun,κρίσις,"κρίσις, -εως, ἡ",judgment,47,50,jqirir,25-50,,,,,,
Adverb,οὐκέτι,οὐκέτι,no longer,47,50,otjesi,25-50,,,,,,
Preposition,πρό,πρό,before (gen),47,50,pqo,25-50,,,,,,
Verb,προσφέρω,προσφέρω,"to bring to, offer",47,50,pqorueqx,25-50,,,,,,
Noun,φόβος,"φόβος, -ου, ὁ","fear, terror",47,50,uobor,25-50,,,,,,
Noun,φυλακή,"φυλακή, -ῆς, ἡ","a guard, a prison, a watch",47,50,utkajg,25-50,,,,,,
Noun,θηρίον,"θηρίον, -ου, τό",a wild beast,46,50,hgqiom,25-50,,,,,,
Verb,καθίζω,καθίζω,"to seat, sit",46,50,jahifx,25-50,,,,,,
Particle,οὐαί,οὐαί,woe! alas!,46,50,otai,25-50,,,,,,
Verb,σταυρόω,σταυρόω,to crucify,46,50,rsatqox,25-50,,,,,,
Noun,σωτηρία,"σωτηρία, -ας, ἡ",salvation,46,50,rxsgqia,25-50,,,,,,
Verb,ἀπαγγέλλω,ἀπαγγέλλω,"to announce, report",45,50,apaccekkx,25-50,,,,,,
Verb,διώκω,διώκω,"to pursue, persecute",45,50,dixjx,25-50,,,,,,
Noun,θλῖψις,"θλῖψις, -εως, ἡ",tribulation,45,50,hkiwir,25-50,,,,,,
Noun,ναός,"ναός, -οῦ, ὁ",a temple,45,50,maor,25-50,,,,,,
Adjective,ὅμοιος,"ὅμοιος, -α, -ον",like,45,50,oloior,25-50,,,,,,
Verb,ἐπιγινώσκω,ἐπιγινώσκω,"to come to know, recognize",44,50,epicimxrjx,25-50,,,,,,
Proper Noun,Ἰούδας,"Ἰούδας, -α, ὁ","Judas, Judah",44,50,iotdar,25-50,,,,,,
Verb,κατοικέω,κατοικέω,"to inhabit, dwell",44,50,jasoijex,25-50,,,,,,
Verb,ἁμαρτάνω,ἁμαρτάνω,to sin,43,50,alaqsamx,25-50,,,,,,
Noun,γενεά,"γενεά, -ᾶς, ἡ",a generation,43,50,cemea,25-50,,,,,,
Verb,δέω,δέω,to bind,43,50,dex,25-50,,,,,,
Verb,διέρχομαι,διέρχομαι,to pass through,43,50,dieqvolai,25-50,,,,,,
Proper Noun,Ἡρῴδης,"Ἡρῴδης, -ου, ὁ",Herod,43,50,gqxdgr,25-50,,,,,,
Verb,θαυμάζω,θαυμάζω,"to marvel, wonder at",43,50,hatlafx,25-50,,,,,,
Verb,θεραπεύω,θεραπεύω,to heal,43,50,heqapetx,25-50,,,,,,
Proper Noun,Ἰουδαία,"Ἰουδαία, -ας, ἡ",Judea,43,50,iotdaia,25-50,,,,,,
Pronoun,σεαυτοῦ,"σεαυτοῦ, -ῆς",of you,43,50,reatsot,25-50,,,,,,
Noun,σπέρμα,"σπέρμα, -τος, τό",a seed,43,50,rpeqla,25-50,,,,,,
Verb,φωνέω,φωνέω,to call,43,50,uxmex,25-50,,,,,,
Noun,ἀνάστασις,"ἀνάστασις, -εως, ἡ",resurrection,42,50,amarsarir,25-50,,,,,,
Verb,ἐγγίζω,ἐγγίζω,to come near,42,50,eccifx,25-50,,,,,,
Proper Noun,Ἰάκωβος,"Ἰάκωβος, -ου, ὁ",James,42,50,iajxbor,25-50,,,,,,
Adjective,καινός,"καινός, -ή, -όν",new,42,50,jaimor,25-50,,,,,,
Verb,λύω,λύω,to loose,42,50,ktx,25-50,,,,,,
Noun,μέρος,"μέρος, -ους, τό",a part,42,50,leqor,25-50,,,,,,
Verb,οἰκοδομέω,οἰκοδομέω,"to build, edify",42,50,oijodolex,25-50,,,,,,
Verb,πάσχω,πάσχω,to suffer,42,50,parvx,25-50,,,,,,
Adjective,ἄξιος,"ἄξιος, -α, -ον",worthy,41,50,anior,25-50,,,,,,
Verb,ἐπιτίθημι,ἐπιτίθημι,to lay upon,41,50,episihgli,25-50,,,,,,
Verb,ἐργάζομαι,ἐργάζομαι,to work,41,50,eqcafolai,25-50,,,,,,
Verb,εὐλογέω,εὐλογέω,to bless,41,50,etkocex,25-50,,,,,,
Adverb,πάντοτε,πάντοτε,always,41,50,pamsose,25-50,,,,,,
Verb,παρίστημι,παρίστημι,"to be present, stand by",41,50,paqirsgli,25-50,,,,,,
Adverb,σήμερον,σήμερον,today,41,50,rgleqom,25-50,,,,,,
Adjective,τέσσαρες,τέσσαρες,four,41,50,serraqer,25-50,,,,,,
Noun,τιμή,"τιμή, -ῆς, ἡ","honor, price",41,50,silg,25-50,,,,,,
Preposition,χωρίς,χωρίς,"without, apart from (gen)",41,50,vxqir,25-50,,,,,,
Verb,ἑτοιμάζω,ἑτοιμάζω,to prepare,40,50,esoilafx,25-50,,,,,,
Verb,κλαίω,κλαίω,to weep,40,50,jkaix,25-50,,,,,,
Verb,λογίζομαι,λογίζομαι,"to account, reckon",40,50,kocifolai,25-50,,,,,,
Verb,μισέω,μισέω,to hate,40,50,lirex,25-50,,,,,,
Noun,μνημεῖον,"μνημεῖον, -ου, τό","a tomb, monument",40,50,lmgleiom,25-50,,,,,,
Noun,τέλος,"τέλος, -ους, τό",end,40,50,sekor,25-50,,,,,,
Verb,ἅπτω,ἅπτω,to touch,39,50,apsx,25-50,,,,,,
Verb,δικαιόω,δικαιόω,"to justify, pronounce righteous",39,50,dijaiox,25-50,,,,,,
Noun,θύρα,"θύρα, -ας, ἡ",a door,39,50,htqa,25-50,,,,,,
Adjective,ἱκανός,"ἱκανός, -ή, -όν","sufficient, able, considerable",39,50,ijamor,25-50,,,,,,
Verb,περισσεύω,περισσεύω,"to abound, be rich",39,50,peqirretx,25-50,,,,,,
Verb,πλανάω,πλανάω,to lead astray,39,50,pkamax,25-50,,,,,,
Verb,πράσσω,πράσσω,"to do, perform",39,50,pqarrx,25-50,,,,,,
Noun,πρόβατον,"πρόβατον, -ου, τό",a sheep,39,50,pqobasom,25-50,,,,,,
Noun,ἐπιθυμία,"ἐπιθυμία, -ας, ἡ","eager desire, passion, lust",38,50,epihtlia,25-50,,,,,,
Verb,εὐχαριστέω,εὐχαριστέω,to give thanks,38,50,etvaqirsex,25-50,,,,,,
Verb,πειράζω,πειράζω,"to test, tempt, attempt",38,50,peiqafx,25-50,,,,,,
Adjective,πέντε,πέντε,five,38,50,pemse,25-50,,,,,,
Verb,ὑποτάσσω,ὑποτάσσω,"to subject, put in subjection",38,50,tposarrx,25-50,,,,,,
Noun,ἄρχων,"ἄρχων, -οντος, ὁ",a ruler,37,50,aqvxm,25-50,,,,,,
Verb,βούλομαι,βούλομαι,"to wish, determine",37,50,botkolai,25-50,,,,,,
Noun,διάβολος,"διάβολος, -ου, ὁ","slanderer, accuser, the Devil",37,50,diabokor,25-50,,,,,,
Verb,διακονέω,διακονέω,"to wait upon, serve",37,50,diajomex,25-50,,,,,,
Pronoun,ἐμαυτοῦ,"ἐμαυτοῦ, -ῆς",of myself,37,50,elatsot,25-50,,,,,,
Verb,καυχάομαι,καυχάομαι,to boast,37,50,jatvaolai,25-50,,,,,,
Noun,μαρτυρία,"μαρτυρία, -ας, ἡ","a testimony, evidence",37,50,laqstqia,25-50,,,,,,
Verb,παραγίνομαι,παραγίνομαι,"to come, arrive",37,50,paqacimolai,25-50,,,,,,
Noun,ἀγρός,"ἀγρός, -οῦ, ὁ",a field,36,50,acqor,25-50,,,,,,
Adverb,ἄρτι,ἄρτι,"now, just now",36,50,aqsi,25-50,,,,,,
Verb,ἐπιστρέφω,ἐπιστρέφω,"to turn to, return",36,50,epirsqeux,25-50,,,,,,
Adverb,εὐθέως,εὐθέως,immediately,36,50,ethexr,25-50,,,,,,
Adverb,καλῶς,καλῶς,well,36,50,jakxr,25-50,,,,,,
Noun,ὀργή,"ὀργή, -ῆς, ἡ","wrath, anger",36,50,oqcg,25-50,,,,,,
Noun,οὖς,"οὖς, ὠτός, τό",an ear,36,50,otr,25-50,,,,,,
Noun,περιτομή,"περιτομή, -ῆς, ἡ",circumcision,36,50,peqisolg,25-50,,,,,,
Noun,προσευχή,"προσευχή, -ῆς, ἡ",prayer,36,50,pqoretvg,25-50,,,,,,
Proper Noun,Σατανᾶς,"Σατανᾶς, -ᾶ, ὁ",Satan,36,50,rasamar,25-50,,,,,,
Proper Noun,Φίλιππος,"Φίλιππος, -ου, ὁ",Philip,36,50,uikippor,25-50,,,,,,
Conjunction,ὥσπερ,ὥσπερ,"just as, even as",36,50,xrpeq,25-50,,,,,,
Proper Noun,Ἰωσήφ,"Ἰωσήφ, ὁ",Joseph,35,50,ixrgu,25-50,,,,,,
Noun,μάρτυς,"μάρτυς, -υρος, ὁ",a witness,35,50,laqstr,25-50,,,,,,
Preposition,ὀπίσω,ὀπίσω,"behind, after (gen)",35,50,opirx,25-50,,,,,,
Verb,ὀφείλω,ὀφείλω,"to owe, ought",35,50,oueikx,25-50,,,,,,
Verb,ὑποστρέφω,ὑποστρέφω,to return,35,50,tporsqeux,25-50,,,,,,
Adjective,ἅπας,"ἅπας, -ασα, -αν",all,34,50,apar,25-50,,,,,,
Noun,βιβλίον,"βιβλίον, -ου, τό",a book,34,50,bibkiom,25-50,,,,,,
Verb,βλασφημέω,βλασφημέω,"to revile, blaspheme",34,50,bkaruglex,25-50,,,,,,
Noun,διακονία,"διακονία, -ας, ἡ","waiting at table, service, ministry",34,50,diajomia,25-50,,,,,,
Verb,ἔξειμι,ἔξειμι,"to depart, leave",34,50,eneili,25-50,,,,,,
Noun,μέλος,"μέλος, -ους, τό",a member,34,50,lekor,25-50,,,,,,
Verb,μετανοέω,μετανοέω,to repent,34,50,lesamoex,25-50,,,,,,
Conjunction,μήτε,μήτε,"neither, nor",34,50,lgse,25-50,,,,,,
Noun,οἶνος,"οἶνος, -ου, ὁ",wine,34,50,oimor,25-50,,,,,,
Adjective,πτωχός,"πτωχός, -ή, -όν",poor; poor man (as a noun),34,50,psxvor,25-50,,,,,,
Verb,ἀρνέομαι,ἀρνέομαι,to deny,33,50,aqmeolai,25-50,,,,,,
Verb,ἀσθενέω,ἀσθενέω,"to be weak, sick",33,50,arhemex,25-50,,,,,,
Verb,δείκνυμι,δείκνυμι,to show,33,50,deijmtli,25-50,,,,,,
Noun,διαθήκη,"διαθήκη, -ης, ἡ",a covenant,33,50,diahgjg,25-50,,,,,,
Adverb,ἐγγύς,ἐγγύς,near,33,50,ecctr,25-50,,,,,,
Verb,ἐκπορεύομαι,ἐκπορεύομαι,to go out,33,50,ejpoqetolai,25-50,,,,,,
Particle,ναί,ναί,"truly, yes",33,50,mai,25-50,,,,,,
Adjective,ποῖος,"ποῖος, -α, -ον",what sort of? what?,33,50,poior,25-50,,,,,,
Verb,φαίνω,φαίνω,"to shine, appear",33,50,uaimx,25-50,,,,,,
Adjective,ἀκάθαρτος,"ἀκάθαρτος, -ον",unclean,32,50,ajahaqsor,25-50,,,,,,
Verb,ἀναγινώσκω,ἀναγινώσκω,to read,32,50,amacimxrjx,25-50,,,,,,
Adjective,δυνατός,"δυνατός, -ή, -όν","powerful, possible",32,50,dtmasor,25-50,,,,,,
Adjective,ἐχθρός,"ἐχθρός, -ή, -όν",hating; enemy (as a noun),32,50,evhqor,25-50,,,,,,
Noun,ἥλιος,"ἥλιος, -ου, ὁ",the sun,32,50,gkior,25-50,,,,,,
Verb,παραγγέλλω,παραγγέλλω,"to command, charge",32,50,paqaccekkx,25-50,,,,,,
Noun,ὑπομονή,"ὑπομονή, -ῆς, ἡ","steadfast endurance, perseverance",32,50,tpolomg,25-50,,,,,,
Noun,ἄνεμος,"ἄνεμος, -ου, ὁ",a wind,31,50,amelor,25-50,,,,,,
Verb,ἐλπίζω,ἐλπίζω,to hope,31,50,ekpifx,25-50,,,,,,
Noun,ἱερεύς,"ἱερεύς, -έως, ὁ",a priest,31,50,ieqetr,25-50,,,,,,
Verb,καθαρίζω,καθαρίζω,to cleanse,31,50,jahaqifx,25-50,,,,,,
Noun,παρρησία,"παρρησία, -ας, ἡ","boldness, confidence",31,50,paqqgria,25-50,,,,,,
Noun,πλῆθος,"πλῆθος, -ους, τό",a multitude,31,50,pkghor,25-50,,,,,,
Conjunction,πλήν,πλήν,"however, but, only, nevertheless; except (gen)",31,50,pkgm,25-50,,,,,,
Noun,ποτήριον,"ποτήριον, -ου, τό",a cup,31,50,posgqiom,25-50,,,,,,
Noun,σκότος,"σκότος, -ους, τό",darkness,31,50,rjosor,25-50,,,,,,
Verb,φυλάσσω,φυλάσσω,"to guard, keep",31,50,utkarrx,25-50,,,,,,
Noun,φυλή,"φυλή, -ῆς, ἡ",a tribe,31,50,utkg,25-50,,,,,,
Verb,ἀγοράζω,ἀγοράζω,to buy,30,50,acoqafx,25-50,,,,,,
Noun,ἀρνίον,"ἀρνίον, -ου, τό",a lamb,30,50,aqmiom,25-50,,,,,,
Noun,διδαχή,"διδαχή, -ῆς, ἡ",teaching,30,50,didavg,25-50,,,,,,
Verb,ἐπικαλέω,ἐπικαλέω,"to call, name; to invoke, appeal to (middle)",30,50,epijakex,25-50,,,,,,
Noun,λιμός,"λιμός, -οῦ, ὁ","hunger, famine",30,50,kilor,25-50,,,,,,
Adverb,ὁμοίως,ὁμοίως,likewise,30,50,oloixr,25-50,,,,,,
Noun,συνείδησις,"συνείδησις, -εως, ἡ",conscience,30,50,rtmeidgrir,25-50,,,,,,
Verb,συνέρχομαι,συνέρχομαι,to come together,30,50,rtmeqvolai,25-50,,,,,,
Noun,γνῶσις,"γνῶσις, -εως, ἡ","wisdom, knowledge",29,50,cmxrir,25-50,,,,,,
Noun,διάκονος,"διάκονος, -ου, ὁ","a servant, administrator, deacon",29,50,diajomor,25-50,,,,,,
Verb,ἐλεέω,ἐλεέω,to have mercy,29,50,ekeex,25-50,,,,,,
Verb,ἐπιτιμάω,ἐπιτιμάω,"to rebuke, warn",29,50,episilax,25-50,,,,,,
Proper Noun,Ἠλίας,"Ἠλίας, -ου, ὁ",Elijah,29,50,gkiar,25-50,,,,,,
Adjective,ἰσχυρός,"ἰσχυρός, -ά, -όν",strong,29,50,irvtqor,25-50,,,,,,
Proper Noun,Καῖσαρ,"Καῖσαρ, -ος, ὁ",Caesar,29,50,jairaq,25-50,,,,,,
Noun,μάχαιρα,"μάχαιρα, -ης, ἡ",a sword,29,50,lavaiqa,25-50,,,,,,
Noun,μισθός,"μισθός, -οῦ, ὁ","wages, reward",29,50,lirhor,25-50,,,,,,
Noun,παράκλησις,"παράκλησις, -εως, ἡ","an exhortation, consolation, comfort",29,50,paqajkgrir,25-50,,,,,,
Verb,παρέρχομαι,παρέρχομαι,"to pass by, pass away; to arrive",29,50,paqeqvolai,25-50,,,,,,
Noun,πάσχα,"πάσχα, τό",passover (indeclinable),29,50,parva,25-50,,,,,,
Adverb,πόθεν,πόθεν,whence?,29,50,pohem,25-50,,,,,,
Adverb,ποτέ,ποτέ,"at some time, once, ever, formerly",29,50,pose,25-50,,,,,,
Verb,προσκαλέομαι,προσκαλέομαι,"to summon, call to",29,50,pqorjakeolai,25-50,,,,,,
Verb,σκανδαλίζω,σκανδαλίζω,to cause to stumble,29,50,rjamdakifx,25-50,,,,,,
Verb,φεύγω,φεύγω,to flee,29,50,uetcx,25-50,,,,,,
Adjective,φίλος,"φίλος, -ου, ὁ",loving; a friend (as a noun),29,50,uikor,25-50,,,,,,
Verb,ἁγιάζω,ἁγιάζω,to sanctify,28,50,aciafx,25-50,,,,,,
Verb,ἀδικέω,ἀδικέω,"to wrong, do wrong, harm",28,50,adijex,25-50,,,,,,
Adjective,ἀληθινός,"ἀληθινός, -ή, -όν",TRUE,28,50,akghimor,25-50,,,,,,
Proper Noun,Βαρναβᾶς,"Βαρναβᾶς, -ᾶ, ὁ",Barnabas,28,50,baqmabar,25-50,,,,,,
Verb,γαμέω,γαμέω,to marry,28,50,calex,25-50,,,,,,
Verb,ἡγέομαι,ἡγέομαι,"to be chief; to think, regard, consider",28,50,gceolai,25-50,,,,,,
Verb,ἥκω,ἥκω,to have come,28,50,gjx,25-50,,,,,,
Noun,θυγάτηρ,"θυγάτηρ, -τρός, ἡ",a daughter,28,50,htcasgq,25-50,,,,,,
Noun,θυσία,"θυσία, -ας, ἡ",a sacrifice,28,50,htria,25-50,,,,,,
Particle,ἴδε,ἴδε,see! behold!,28,50,ide,25-50,,,,,,
Verb,ἰσχύω,ἰσχύω,"to be strong, able",28,50,irvtx,25-50,,,,,,
Noun,μυστήριον,"μυστήριον, -ου, τό",a mystery,28,50,ltrsgqiom,25-50,,,,,,
Verb,νικάω,νικάω,to conquer,28,50,mijax,25-50,,,,,,
Adjective,περισσός,"περισσός, -ή, -όν","excessive, abundant",28,50,peqirror,25-50,,,,,,
Adjective,πλούσιος,"πλούσιος, -α, -ον",rich,28,50,pkotrior,25-50,,,,,,
Adjective,πνευματικός,"πνευματικός, -ή, -όν",spiritual,28,50,pmetlasijor,25-50,,,,,,
Verb,προφητεύω,προφητεύω,to prophesy,28,50,pqougsetx,25-50,,,,,,
Verb,τελέω,τελέω,"to finish, fulfill",28,50,sekex,25-50,,,,,,
Noun,χώρα,"χώρα, -ας, ἡ",a country,28,50,vxqa,25-50,,,,,,
Verb,βαστάζω,βαστάζω,"to bear, carry",27,50,barsafx,25-50,,,,,,
Verb,δουλεύω,δουλεύω,to serve,27,50,dotketx,25-50,,,,,,
Adverb,ἐκεῖθεν,ἐκεῖθεν,"there, thence, from that place",27,50,ejeihem,25-50,,,,,,
Verb,ἐκχέω,ἐκχέω,to pour out,27,50,ejvex,25-50,,,,,,
Noun,ἔλεος,"ἔλεος, -ους, τό","pity, mercy, compassion",27,50,ekeor,25-50,,,,,,
Verb,ἐνδύω,ἐνδύω,"to put on, clothe",27,50,emdtx,25-50,,,,,,
Proper Noun,Ἰακώβ,"Ἰακώβ, ὁ",Jacob,27,50,iajxb,25-50,,,,,,
Adjective,καθαρός,"καθαρός, -ά, -όν",clean,27,50,jahaqor,25-50,,,,,,
Verb,καταργέω,καταργέω,"to bring to naught, abolish",27,50,jasaqcex,25-50,,,,,,
Noun,κρίμα,"κρίμα, -τος, τό",judgment,27,50,jqila,25-50,,,,,,
Noun,κώμη,"κώμη, -ης, ἡ",a village,27,50,jxlg,25-50,,,,,,
Adjective,πόσος,"πόσος, -η, -ον",how great? how much?,27,50,poror,25-50,,,,,,
Noun,σταυρός,"σταυρός, -οῦ, ὁ",a cross,27,50,rsatqor,25-50,,,,,,
Noun,ἀδελφή,"ἀδελφή, -ῆς, ἡ",a sister,26,50,adekug,25-50,,,,,,
Adjective,ἀληθής,"ἀληθής, -ές",TRUE,26,50,akghgr,25-50,,,,,,
Verb,ἀποκαλύπτω,ἀποκαλύπτω,to reveal,26,50,apojaktpsx,25-50,,,,,,
Adjective,ἀσθενής,"ἀσθενής, -ές",weak,26,50,arhemgr,25-50,,,,,,
Particle,γέ,γέ,"indeed, at least, really, even",26,50,ce,25-50,,,,,,
Preposition,ἕνεκα,ἕνεκα,"on account of, for the sake of (gen)",26,50,emeja,25-50,,,,,,
Conjunction,ἐπεί,ἐπεί,"when, since",26,50,epei,25-50,,,,,,
Verb,ἰάομαι,ἰάομαι,to heal,26,50,iaolai,25-50,,,,,,
Verb,λυπέω,λυπέω,to grieve,26,50,ktpex,25-50,,,,,,
Verb,ὄμνυμι,ὀμνύω,"to swear, take an oath",26,50,olmtli,25-50,,,,,,
Verb,ὁμολογέω,ὁμολογέω,"to confess, profess",26,50,olokocex,25-50,,,,,,
Adverb,οὔπω,οὔπω,not yet,26,50,otpx,25-50,,,,,,
Noun,στρατιώτης,"στρατιώτης, -ου, ὁ",a soldier,26,50,rsqasixsgr,25-50,,,,,,
Verb,συνίημι,συνίημι,to understand,26,50,rtmigli,25-50,,,,,,
Verb,φρονέω,φρονέω,to think,26,50,uqomex,25-50,,,,,,
Noun,χήρα,"χήρα, -ας, ἡ",a widow,26,50,vgqa,25-50,,,,,,
Noun,ἀδικία,"ἀδικία, -ας, ἡ",unrighteousness,25,50,adijia,25-50,,,,,,
Proper Noun,Αἴγυπτος,"Ἂἴγυπτος, -ου, ἡ",Egypt,25,50,aictpsor,25-50,,,,,,
Verb,ἀναβλέπω,ἀναβλέπω,"to look up, receive sight",25,50,amabkepx,25-50,,,,,,
Verb,γνωρίζω,γνωρίζω,to make known,25,50,cmxqifx,25-50,,,,,,
Adjective,δέκα,δέκα,ten,25,50,deja,25-50,,,,,,
Noun,δένδρον,"δένδρον, -ου, τό",a tree,25,50,demdqom,25-50,,,,,,
Proper Noun,Ἕλλην,"{Ελλην, -ηνος, ὁ",a Greek,25,50,ekkgm,25-50,,,,,,
Noun,ἑορτή,"ἑορτή, -ῆς, ἡ",a feast,25,50,eoqsg,25-50,,,,,,
Verb,κελεύω,κελεύω,to order,25,50,jeketx,25-50,,,,,,
Adjective,λευκός,"λευκός, -ή, -όν",white,25,50,ketjor,25-50,,,,,,
